block_height,timestamp,difficulty,txs_count,miner_address,network_health,block_age,hash_entropy,miner_reputation,is_valid
1018,1771043240,14588261,51,miner_pool_1,0.98,119,239,0.8849,1
1019,1771043360,14377958,60,miner_pool_10,0.9234,95,201,0.8006,1
1020,1771043480,15470843,41,miner_pool_6,0.9901,148,219,0.8427,1
1021,1771043600,14803356,43,miner_pool_2,0.9969,96,227,0.9117,1
1022,1771043720,15922512,50,miner_pool_6,0.8721,108,230,0.8549,1
1023,1771043840,15000062,56,unknown_miner_98,0.8819,119,219,0.3739,0
1024,1771043960,15874099,51,miner_pool_1,0.9379,129,227,0.8643,1
1025,1771044080,15844600,42,unknown_miner_364,0.9992,127,205,0.5959,1
1026,1771044200,15657773,53,miner_pool_2,0.9227,145,218,0.8401,1
1027,1771044320,15499408,43,miner_pool_10,0.9657,109,209,0.8292,1
1028,1771044440,14855373,42,miner_pool_8,0.9674,93,251,0.8644,1
1029,1771044560,14998674,54,miner_pool_1,0.9589,112,213,0.928,1
1030,1771044680,14578019,41,miner_pool_6,0.8929,102,222,0.8639,1
1031,1771044800,15989709,45,unknown_miner_809,0.9578,133,208,0.429,1
1032,1771044920,15638369,39,miner_pool_4,0.8927,123,248,0.8065,1
1033,1771045040,15488473,62,unknown_miner_687,0.9342,113,253,0.5135,1
1034,1771045160,14724428,49,miner_pool_7,0.8841,104,223,0.8055,1
1035,1771045280,14635836,58,miner_pool_6,0.8648,124,218,0.8151,1
1036,1771045400,14158051,62,miner_pool_1,0.8836,96,231,0.9465,1
1037,1771045520,14261114,67,miner_pool_2,0.857,133,248,0.8837,1
1038,1771045640,14870922,59,unknown_miner_537,0.9282,96,253,0.4752,1
1039,1771045760,14262590,48,miner_pool_9,0.9787,132,229,0.941,1
1040,1771045880,14726596,50,miner_pool_4,0.8729,141,240,0.8097,1
1041,1771046000,15516395,61,miner_pool_4,0.8857,95,243,0.8717,1
1042,1771046120,14211281,41,miner_pool_1,0.9018,132,218,0.8153,1
1043,1771046240,15550844,50,unknown_miner_303,0.8844,138,254,0.622,1
1044,1771046360,14676245,62,miner_pool_7,0.9491,137,238,0.8107,1
1045,1771046480,14650010,55,miner_pool_5,0.9948,129,233,0.9337,1
1046,1771046600,15080946,48,miner_pool_8,0.9605,147,209,0.8061,1
1047,1771046720,14667358,53,miner_pool_4,0.9282,91,214,0.9262,1
1048,1771046840,15695637,33,miner_pool_10,0.9665,123,253,0.8115,1
1049,1771046960,14403711,49,miner_pool_4,0.9845,101,235,0.8101,1
1050,1771047080,14170988,53,miner_pool_5,0.9738,144,230,0.8867,1
1051,1771047200,15310861,45,miner_pool_7,0.8819,140,222,0.8061,1
1052,1771047320,15257050,49,miner_pool_8,0.9558,117,228,0.8696,1
1053,1771047440,15050085,43,unknown_miner_701,0.9414,111,240,0.5015,0
1054,1771047560,15040703,50,miner_pool_3,0.9053,135,208,0.9348,1
1055,1771047680,14156251,48,miner_pool_7,0.992,126,248,0.8646,1
1056,1771047800,15297509,40,miner_pool_9,0.9469,131,209,0.815,1
1057,1771047920,14136182,56,miner_pool_1,0.8594,122,221,0.8083,1
1058,1771048040,14389037,49,unknown_miner_6,0.889,132,239,0.2807,1
1059,1771048160,14441777,59,miner_pool_9,0.9436,120,205,0.9467,1
1060,1771048280,14563375,51,miner_pool_8,0.8664,147,210,0.9448,1
1061,1771048400,14090540,64,miner_pool_10,0.9157,112,204,0.8709,1
1062,1771048520,14421153,59,miner_pool_6,0.9097,105,237,0.889,1
1063,1771048640,15534043,58,unknown_miner_576,0.983,101,233,0.5058,1
1064,1771048760,14826173,61,unknown_miner_840,0.8863,118,203,0.3208,1
1065,1771048880,14480987,36,miner_pool_1,0.8847,121,232,0.8611,1
1066,1771049000,15296783,41,miner_pool_9,0.8915,104,254,0.82,1
1067,1771049120,14277624,48,miner_pool_5,0.9752,146,249,0.8019,1
1068,1771049240,15541763,45,unknown_miner_900,0.9394,117,213,0.7657,1
1069,1771049360,15937443,40,miner_pool_9,0.9452,124,231,0.9053,0
1070,1771049480,14738238,55,miner_pool_7,0.899,94,242,0.9256,1
1071,1771049600,14320501,47,unknown_miner_812,0.9492,139,236,0.5943,1
1072,1771049720,14060367,46,miner_pool_1,0.8931,136,252,0.9363,1
1073,1771049840,14703888,57,miner_pool_6,0.9329,149,255,0.831,1
1074,1771049960,15698399,49,unknown_miner_24,0.9718,147,203,0.5789,1
1075,1771050080,14273281,43,unknown_miner_830,0.9925,136,201,0.2211,1
1076,1771050200,14019106,43,unknown_miner_495,0.9509,150,216,0.7808,1
1077,1771050320,14532894,46,miner_pool_7,0.9037,105,214,0.8931,1
1078,1771050440,14727032,54,miner_pool_5,0.9848,129,227,0.8541,1
1079,1771050560,15910089,42,miner_pool_7,0.8598,98,242,0.9118,1
1080,1771050680,14106840,51,unknown_miner_214,0.8926,110,244,0.2913,1
1081,1771050800,15563358,60,unknown_miner_252,0.864,114,214,0.459,1
1082,1771050920,14121099,56,miner_pool_3,0.937,133,239,0.8526,1
1083,1771051040,14260476,48,miner_pool_9,0.9444,147,219,0.8438,1
1084,1771051160,14680835,66,miner_pool_4,0.9486,119,226,0.8969,1
1085,1771051280,15360778,54,unknown_miner_794,0.9105,138,220,0.2388,1
1086,1771051400,15755585,53,unknown_miner_652,0.9391,98,213,0.4729,1
1087,1771051520,14449594,53,miner_pool_1,0.9121,103,216,0.9081,1
1088,1771051640,15724500,50,miner_pool_10,0.8817,105,205,0.8656,1
1089,1771051760,14706741,55,miner_pool_4,0.9439,132,214,0.832,1
1090,1771051880,14216195,54,miner_pool_3,0.9661,109,228,0.8772,1
1091,1771052000,14442335,61,unknown_miner_98,0.9796,112,255,0.7491,1
1092,1771052120,15585561,64,miner_pool_5,0.8824,123,249,0.8451,0
1093,1771052240,15904159,57,miner_pool_2,0.8661,116,240,0.942,0
1094,1771052360,14517223,51,miner_pool_10,0.891,140,224,0.8648,1
1095,1771052480,14854448,46,miner_pool_7,0.9567,115,204,0.8079,1
1096,1771052600,14088937,56,unknown_miner_23,0.9332,103,233,0.6261,1
1097,1771052720,15084971,44,unknown_miner_270,0.9074,149,241,0.5323,1
1098,1771052840,15777970,45,miner_pool_4,0.9886,143,249,0.9398,1
1099,1771052960,14324178,39,unknown_miner_438,0.968,132,229,0.4431,1
1100,1771053080,14781850,37,miner_pool_3,0.9606,127,214,0.8353,1
1101,1771053200,14235064,42,miner_pool_4,0.9572,99,203,0.8213,1
1102,1771053320,15359477,53,unknown_miner_589,0.8502,120,248,0.4919,1
1103,1771053440,14161640,40,miner_pool_2,0.8653,106,202,0.9051,1
1104,1771053560,15718897,45,miner_pool_7,0.8905,132,221,0.9499,1
1105,1771053680,15122720,67,unknown_miner_259,0.9788,90,200,0.2296,1
1106,1771053800,15459853,48,unknown_miner_860,0.8749,121,255,0.5448,1
1107,1771053920,15243447,49,miner_pool_10,0.9763,127,208,0.9045,1
1108,1771054040,15106923,39,miner_pool_9,0.9062,95,213,0.8639,1
1109,1771054160,14919265,50,miner_pool_3,0.8625,147,223,0.9152,1
1110,1771054280,14107073,40,unknown_miner_844,0.8932,148,246,0.7327,1
1111,1771054400,14064889,53,miner_pool_4,0.8839,90,214,0.8077,1
1112,1771054520,14055910,51,miner_pool_5,0.9462,142,219,0.8195,1
1113,1771054640,14886840,42,miner_pool_9,0.9734,106,204,0.8165,1
1114,1771054760,14483176,56,miner_pool_3,0.8804,93,222,0.8451,1
1115,1771054880,15655185,51,miner_pool_10,0.9336,120,214,0.852,1
1116,1771055000,14082857,51,miner_pool_6,0.8864,121,246,0.8573,1
1117,1771055120,15886738,55,miner_pool_9,0.882,139,216,0.8778,1
1118,1771055240,14523144,46,miner_pool_7,0.8967,129,224,0.9034,1
1119,1771055360,15103242,51,miner_pool_9,0.9615,111,228,0.865,1
1120,1771055480,14617388,54,miner_pool_5,0.9186,116,205,0.8906,1
1121,1771055600,15248857,41,miner_pool_6,0.8534,96,226,0.8068,1
1122,1771055720,15921719,41,miner_pool_7,0.9031,142,233,0.8149,1
1123,1771055840,15237147,41,miner_pool_9,0.9196,119,256,0.8846,1
1124,1771055960,14419791,50,miner_pool_4,0.9278,90,245,0.8717,1
1125,1771056080,15110355,50,miner_pool_1,0.9798,107,246,0.9146,1
1126,1771056200,15061237,58,miner_pool_2,0.8959,122,248,0.9011,0
1127,1771056320,15707107,60,miner_pool_3,0.9474,101,223,0.849,1
1128,1771056440,15694476,46,miner_pool_4,0.9413,93,253,0.8945,1
1129,1771056560,15180573,45,miner_pool_9,0.9521,144,239,0.8172,1
1130,1771056680,14772123,44,miner_pool_7,0.9964,126,226,0.865,1
1131,1771056800,15134546,56,miner_pool_4,0.9409,115,246,0.8914,1
1132,1771056920,15578229,52,miner_pool_2,0.8853,133,217,0.8282,1
1133,1771057040,15116408,49,miner_pool_5,0.9049,132,232,0.8993,1
1134,1771057160,14175304,62,miner_pool_5,0.9545,138,218,0.8074,1
1135,1771057280,15264631,52,miner_pool_2,0.9385,92,241,0.9084,1
1136,1771057400,14471177,54,miner_pool_5,0.8819,134,215,0.9378,1
1137,1771057520,15080986,52,unknown_miner_29,0.9746,123,205,0.5138,1
1138,1771057640,14507134,62,miner_pool_10,0.9135,95,242,0.9493,1
1139,1771057760,15970336,49,miner_pool_10,0.9843,103,223,0.8759,1
1140,1771057880,14511428,59,miner_pool_7,0.9565,100,202,0.8086,1
1141,1771058000,15168596,48,miner_pool_2,0.8717,108,213,0.8074,1
1142,1771058120,15704660,56,miner_pool_10,0.9582,120,204,0.8043,1
1143,1771058240,14238167,63,miner_pool_3,0.9491,112,233,0.8971,1
1144,1771058360,14220567,47,miner_pool_10,0.9657,125,218,0.912,1
1145,1771058480,15008534,46,miner_pool_5,0.9816,98,244,0.8239,1
1146,1771058600,14617495,58,miner_pool_7,0.9426,115,202,0.8051,1
1147,1771058720,14267343,44,miner_pool_5,0.8625,106,209,0.8268,1
1148,1771058840,14604473,52,miner_pool_4,0.9387,138,226,0.8202,1
1149,1771058960,15369328,50,miner_pool_6,0.9113,150,235,0.8552,1
1150,1771059080,15201779,50,miner_pool_5,0.8904,128,255,0.9063,1
1151,1771059200,14534797,60,miner_pool_1,0.86,150,208,0.879,1
1152,1771059320,14833579,46,miner_pool_4,0.8503,135,223,0.9018,1
1153,1771059440,14363227,60,unknown_miner_801,0.9155,132,215,0.3844,0
1154,1771059560,14937769,45,miner_pool_5,0.9106,100,222,0.8689,1
1155,1771059680,14359834,34,miner_pool_1,0.9554,116,231,0.9015,1
1156,1771059800,14459880,51,miner_pool_8,0.9367,115,211,0.8242,1
1157,1771059920,14369737,50,miner_pool_9,0.8727,147,212,0.8097,1
1158,1771060040,15928956,61,miner_pool_2,0.8763,123,237,0.9027,1
1159,1771060160,14443900,57,miner_pool_5,0.9198,148,218,0.8343,1
1160,1771060280,14626352,58,miner_pool_3,0.9687,107,224,0.8651,1
1161,1771060400,15239991,51,unknown_miner_38,0.8842,146,203,0.7125,1
1162,1771060520,14441765,50,unknown_miner_254,0.9616,100,209,0.6675,1
1163,1771060640,14150357,52,miner_pool_3,0.8752,120,228,0.8844,1
1164,1771060760,15092346,60,miner_pool_1,0.8763,112,230,0.8788,1
1165,1771060880,15438704,46,miner_pool_7,0.9256,117,233,0.8855,1
1166,1771061000,15472541,50,miner_pool_6,0.9922,135,233,0.9104,1
1167,1771061120,15649533,48,unknown_miner_927,0.8992,126,252,0.7183,1
1168,1771061240,15988292,41,miner_pool_8,0.9793,121,256,0.8998,1
1169,1771061360,14015524,51,miner_pool_5,0.9979,91,230,0.9251,1
1170,1771061480,15836273,45,miner_pool_7,0.9706,112,240,0.9365,1
1171,1771061600,14816434,62,unknown_miner_82,0.8819,117,233,0.7954,1
1172,1771061720,15116950,59,unknown_miner_578,0.9943,115,210,0.446,1
1173,1771061840,14869156,53,miner_pool_8,0.8886,110,231,0.9374,1
1174,1771061960,14806535,70,unknown_miner_846,0.8902,146,256,0.2793,1
1175,1771062080,14830929,57,miner_pool_6,0.9517,133,236,0.9237,1
1176,1771062200,14017235,67,miner_pool_4,0.895,140,214,0.8126,1
1177,1771062320,15915980,51,miner_pool_4,0.8542,130,235,0.8531,1
1178,1771062440,15530453,55,miner_pool_1,0.8984,102,214,0.9145,1
1179,1771062560,15024797,64,miner_pool_7,0.9972,111,227,0.8694,1
1180,1771062680,15275154,52,miner_pool_6,0.8942,106,246,0.9377,1
1181,1771062800,14122379,47,miner_pool_3,0.9227,107,243,0.8692,0
1182,1771062920,15365730,49,miner_pool_8,0.918,96,227,0.9337,1
1183,1771063040,14268203,55,miner_pool_10,0.9709,127,256,0.8282,1
1184,1771063160,15526071,53,miner_pool_7,0.9122,101,224,0.876,1
1185,1771063280,14567257,56,miner_pool_1,0.9825,105,225,0.8651,1
1186,1771063400,14746704,55,miner_pool_9,0.9508,121,235,0.9193,1
1187,1771063520,14711974,43,unknown_miner_29,0.9233,138,243,0.6261,1
1188,1771063640,15060649,58,miner_pool_3,0.9608,111,253,0.8169,1
1189,1771063760,15166751,53,unknown_miner_945,0.9225,110,220,0.6404,1
1190,1771063880,15775556,55,miner_pool_6,0.8929,99,236,0.8338,0
1191,1771064000,14896656,55,miner_pool_8,0.9063,100,207,0.9348,1
1192,1771064120,14669655,37,miner_pool_4,0.8852,113,210,0.9238,0
1193,1771064240,14480859,54,miner_pool_10,0.8627,92,216,0.9338,1
1194,1771064360,15351966,60,miner_pool_8,0.9007,106,238,0.9326,1
1195,1771064480,14484679,41,miner_pool_1,0.8724,97,209,0.881,1
1196,1771064600,14670847,52,miner_pool_9,0.859,132,239,0.8057,1
1197,1771064720,15878117,52,miner_pool_7,0.8781,141,206,0.8412,1
1198,1771064840,14544149,58,unknown_miner_683,0.9023,110,254,0.5778,1
1199,1771064960,15280901,47,unknown_miner_287,0.8842,100,214,0.4358,1
1200,1771065080,14132471,52,unknown_miner_853,0.8983,126,223,0.4859,0
1201,1771065200,14429560,38,miner_pool_7,0.8792,121,245,0.8398,1
1202,1771065320,15146315,53,miner_pool_3,0.8983,94,230,0.8108,1
1203,1771065440,15829614,61,miner_pool_10,0.9532,96,214,0.945,1
1204,1771065560,15856733,54,miner_pool_4,0.973,130,254,0.9027,1
1205,1771065680,14711923,49,miner_pool_4,0.8972,108,226,0.8756,1
1206,1771065800,15240462,42,miner_pool_3,0.8944,133,251,0.8212,1
1207,1771065920,14700612,51,miner_pool_6,0.8801,112,224,0.8341,1
1208,1771066040,15375880,46,miner_pool_10,0.9052,97,201,0.9336,1
1209,1771066160,15233364,54,unknown_miner_44,0.9808,126,201,0.7759,1
1210,1771066280,15959686,46,miner_pool_5,0.9597,99,228,0.8125,1
1211,1771066400,15111263,45,miner_pool_6,0.8548,91,224,0.9063,1
1212,1771066520,15076092,46,miner_pool_1,0.9336,147,226,0.8624,1
1213,1771066640,14885723,58,miner_pool_8,0.9965,114,209,0.8576,1
1214,1771066760,15065477,52,unknown_miner_584,0.9974,104,228,0.4901,1
1215,1771066880,14673621,49,miner_pool_10,0.9873,94,256,0.8637,1
1216,1771067000,14873209,50,miner_pool_8,0.9575,93,235,0.9486,1
1217,1771067120,14365521,53,miner_pool_9,0.9966,120,227,0.8866,1
1218,1771067240,15537063,48,miner_pool_7,0.9381,132,251,0.8473,1
1219,1771067360,15785023,54,miner_pool_10,0.9503,150,227,0.8309,1
1220,1771067480,15937438,40,miner_pool_7,0.8593,98,220,0.8122,1
1221,1771067600,15860393,56,miner_pool_4,0.959,150,223,0.8027,1
1222,1771067720,15042170,58,miner_pool_8,0.9808,150,254,0.8376,1
1223,1771067840,15499955,42,unknown_miner_184,0.8798,93,213,0.4173,1
1224,1771067960,14004400,56,miner_pool_6,0.9071,102,206,0.8005,1
1225,1771068080,14055325,55,miner_pool_6,0.8771,139,209,0.9254,1
1226,1771068200,15322475,62,miner_pool_5,0.9213,136,207,0.9319,0
1227,1771068320,15700362,53,miner_pool_2,0.8943,113,211,0.8234,1
1228,1771068440,14382003,34,miner_pool_2,0.9751,143,254,0.8018,1
1229,1771068560,15778505,37,miner_pool_8,0.8633,134,251,0.9369,1
1230,1771068680,14600265,50,miner_pool_4,0.9893,138,203,0.8825,1
1231,1771068800,15448332,50,miner_pool_5,0.9817,124,225,0.9151,1
1232,1771068920,15927541,59,miner_pool_8,0.879,105,234,0.8617,1
1233,1771069040,14147261,54,miner_pool_10,0.9493,99,232,0.8865,1
1234,1771069160,15527311,42,unknown_miner_335,0.8991,115,216,0.3054,1
1235,1771069280,15989421,47,miner_pool_2,0.92,97,221,0.9247,1
1236,1771069400,15893989,48,miner_pool_5,0.8541,142,223,0.9144,0
1237,1771069520,15955540,59,miner_pool_2,0.9693,125,231,0.8224,1
1238,1771069640,15104048,42,unknown_miner_433,0.9022,148,240,0.4146,1
1239,1771069760,14523433,41,miner_pool_10,0.8833,130,247,0.8614,1
1240,1771069880,15452014,45,miner_pool_4,0.9132,120,226,0.8526,1
1241,1771070000,15006665,33,miner_pool_8,0.8831,137,229,0.9076,0
1242,1771070120,14290483,64,miner_pool_1,0.9254,131,231,0.8383,1
1243,1771070240,15094553,54,miner_pool_7,0.8937,142,232,0.9011,1
1244,1771070360,14895387,40,miner_pool_9,0.8645,114,246,0.8432,1
1245,1771070480,14941241,42,miner_pool_1,0.857,129,238,0.8507,1
1246,1771070600,15751019,55,miner_pool_7,0.923,150,231,0.851,0
1247,1771070720,14025644,48,miner_pool_6,0.9529,98,218,0.8204,1
1248,1771070840,15119000,39,unknown_miner_417,0.9352,102,230,0.2977,1
1249,1771070960,15469251,64,miner_pool_9,0.9741,112,208,0.8427,1
1250,1771071080,14943401,66,miner_pool_4,0.9525,108,244,0.8741,1
1251,1771071200,15998235,37,miner_pool_5,0.8538,118,226,0.8407,1
1252,1771071320,15110693,59,miner_pool_7,0.968,111,203,0.9257,1
1253,1771071440,14453318,50,unknown_miner_949,0.9717,93,218,0.3383,1
1254,1771071560,14762807,41,miner_pool_5,0.9553,110,215,0.905,1
1255,1771071680,14733416,48,miner_pool_10,0.9617,102,234,0.9331,1
1256,1771071800,15436314,51,miner_pool_4,0.8805,99,255,0.8215,1
1257,1771071920,14502900,53,miner_pool_8,0.9422,138,233,0.8815,1
1258,1771072040,14266000,55,miner_pool_1,0.9993,131,200,0.8253,1
1259,1771072160,14773206,50,miner_pool_4,0.9737,122,224,0.9328,1
1260,1771072280,15114944,67,miner_pool_6,0.9701,120,225,0.802,1
1261,1771072400,14063636,48,miner_pool_7,0.9755,117,247,0.8177,1
1262,1771072520,14802005,57,miner_pool_4,0.874,148,214,0.9435,1
1263,1771072640,15732449,45,miner_pool_2,0.8946,130,232,0.9268,1
1264,1771072760,15837479,54,miner_pool_10,0.9213,115,245,0.8677,1
1265,1771072880,15545968,44,miner_pool_5,0.9135,97,226,0.8833,1
1266,1771073000,15234802,47,miner_pool_8,0.9638,133,245,0.8817,1
1267,1771073120,14178350,54,unknown_miner_627,0.9359,121,232,0.2899,1
1268,1771073240,15912714,63,miner_pool_8,0.9496,139,248,0.8683,1
1269,1771073360,14182483,55,miner_pool_4,0.9395,138,252,0.9105,1
1270,1771073480,14346768,40,miner_pool_10,0.8982,117,223,0.9491,1
1271,1771073600,15695078,55,unknown_miner_855,0.9499,119,225,0.4569,1
1272,1771073720,14704027,43,miner_pool_9,0.9015,115,229,0.9367,0
1273,1771073840,14409242,45,miner_pool_10,0.9747,100,245,0.8242,1
1274,1771073960,15779293,51,miner_pool_8,0.9167,110,213,0.829,1
1275,1771074080,15607346,45,miner_pool_3,0.9926,98,214,0.8154,1
1276,1771074200,15121616,55,unknown_miner_653,0.954,141,225,0.3693,1
1277,1771074320,15700929,53,miner_pool_5,0.8664,114,239,0.8845,0
1278,1771074440,15424589,54,miner_pool_6,0.9545,127,228,0.9187,1
1279,1771074560,15862630,43,miner_pool_4,0.9587,92,236,0.8802,1
1280,1771074680,15766106,46,miner_pool_1,0.8767,113,212,0.9402,1
1281,1771074800,15595921,29,unknown_miner_965,0.9004,123,240,0.301,1
1282,1771074920,14522119,56,miner_pool_10,0.8584,101,220,0.9036,1
1283,1771075040,14661181,64,miner_pool_6,0.9529,122,237,0.8148,1
1284,1771075160,14729944,51,miner_pool_6,0.8944,98,217,0.9195,1
1285,1771075280,15133066,54,miner_pool_1,0.9511,137,222,0.8606,1
1286,1771075400,15866780,42,miner_pool_3,0.9595,149,245,0.8334,1
1287,1771075520,15669949,50,unknown_miner_707,0.9812,142,212,0.3797,1
1288,1771075640,15127173,39,miner_pool_6,0.9275,92,228,0.8563,1
1289,1771075760,14831504,58,miner_pool_7,0.9819,99,244,0.9412,1
1290,1771075880,14639439,48,miner_pool_5,0.8774,128,210,0.885,1
1291,1771076000,14765393,55,miner_pool_8,0.9445,137,241,0.8416,1
1292,1771076120,15481612,51,miner_pool_4,0.8662,141,244,0.8486,1
1293,1771076240,14579264,41,miner_pool_4,0.933,114,240,0.8785,1
1294,1771076360,15047845,60,miner_pool_3,0.8672,148,229,0.8657,1
1295,1771076480,14885210,46,miner_pool_6,0.9073,123,218,0.9072,1
1296,1771076600,15672133,56,miner_pool_1,0.879,105,248,0.941,1
1297,1771076720,15668626,54,miner_pool_6,0.925,126,205,0.886,1
1298,1771076840,15871292,37,miner_pool_3,0.9772,135,222,0.9369,1
1299,1771076960,14029745,53,miner_pool_4,0.9387,126,218,0.8301,1
1300,1771077080,15653546,50,miner_pool_4,0.8839,107,202,0.8398,1
1301,1771077200,15880789,48,unknown_miner_617,0.8681,105,208,0.5579,1
1302,1771077320,15494863,40,miner_pool_4,0.8802,102,244,0.917,1
1303,1771077440,14594167,40,miner_pool_3,0.991,109,242,0.81,1
1304,1771077560,14981437,55,miner_pool_5,0.8798,135,237,0.801,1
1305,1771077680,14692927,66,miner_pool_3,0.8518,129,225,0.9441,1
1306,1771077800,15371972,35,miner_pool_3,0.9097,142,202,0.8835,1
1307,1771077920,15662857,50,unknown_miner_741,0.9369,101,213,0.4739,1
1308,1771078040,15881716,40,miner_pool_8,0.8974,129,243,0.8804,1
1309,1771078160,14771946,48,miner_pool_10,0.903,135,225,0.9313,1
1310,1771078280,15760811,44,unknown_miner_729,0.8543,129,250,0.6416,1
1311,1771078400,15728753,58,miner_pool_9,0.9448,113,202,0.8832,1
1312,1771078520,15394610,56,miner_pool_2,0.9206,134,234,0.8282,1
1313,1771078640,15563545,41,unknown_miner_40,0.9602,148,256,0.6746,1
1314,1771078760,14166575,47,miner_pool_5,0.9917,97,245,0.8445,1
1315,1771078880,14759814,43,miner_pool_9,0.8818,122,236,0.8175,1
1316,1771079000,15472527,50,miner_pool_1,0.87,110,234,0.8629,1
1317,1771079120,15670335,50,miner_pool_10,0.894,123,253,0.8979,1
1318,1771079240,15690579,43,miner_pool_7,0.9989,101,217,0.9215,1
1319,1771079360,15583086,46,miner_pool_9,0.8923,146,209,0.8579,1
1320,1771079480,14196252,49,miner_pool_1,0.991,146,207,0.8926,1
1321,1771079600,15536214,42,miner_pool_5,0.9186,138,236,0.8071,1
1322,1771079720,14163602,46,miner_pool_2,0.9578,134,209,0.8808,1
1323,1771079840,15304961,48,miner_pool_7,0.9961,111,209,0.8786,1
1324,1771079960,14199249,44,unknown_miner_563,0.8899,137,254,0.4573,1
1325,1771080080,14744504,51,miner_pool_9,0.9857,112,220,0.8594,1
1326,1771080200,14808110,48,miner_pool_9,0.8828,123,234,0.9119,1
1327,1771080320,14323647,39,miner_pool_2,0.8604,100,240,0.8172,1
1328,1771080440,14532166,50,miner_pool_1,0.9614,91,250,0.8795,1
1329,1771080560,14050632,59,miner_pool_1,0.861,99,218,0.8232,1
1330,1771080680,15264057,59,miner_pool_8,0.8869,122,247,0.8986,1
1331,1771080800,15126687,60,miner_pool_8,0.8661,112,248,0.8991,1
1332,1771080920,14629852,52,miner_pool_6,0.9503,146,221,0.8853,1
1333,1771081040,14050846,47,miner_pool_8,0.9881,123,244,0.848,1
1334,1771081160,15096634,48,miner_pool_4,0.8555,124,203,0.8293,1
1335,1771081280,15750705,48,miner_pool_1,0.9596,145,203,0.8877,1
1336,1771081400,14583841,52,miner_pool_8,0.8715,147,216,0.8358,1
1337,1771081520,15105995,35,miner_pool_10,0.9424,100,235,0.9418,1
1338,1771081640,15718641,55,miner_pool_8,0.8715,123,208,0.8255,1
1339,1771081760,14294352,64,miner_pool_7,0.913,102,209,0.9025,1
1340,1771081880,14708592,63,miner_pool_8,0.9224,127,211,0.8829,1
1341,1771082000,14169967,60,miner_pool_3,0.9677,124,243,0.9411,1
1342,1771082120,14519224,45,miner_pool_7,0.8731,139,201,0.8188,1
1343,1771082240,14403235,51,miner_pool_5,0.9547,148,227,0.8404,1
1344,1771082360,14995619,56,miner_pool_9,0.9095,108,201,0.8897,1
1345,1771082480,15504031,53,miner_pool_3,0.9323,109,237,0.8663,1
1346,1771082600,15284835,57,miner_pool_8,0.9996,121,245,0.8513,1
1347,1771082720,14007326,50,miner_pool_7,0.9251,98,204,0.9204,1
1348,1771082840,14468148,63,miner_pool_2,0.8816,144,231,0.9392,1
1349,1771082960,14433243,37,miner_pool_3,0.8536,116,251,0.8193,1
1350,1771083080,15079730,43,miner_pool_9,0.9255,148,245,0.8229,1
1351,1771083200,14884978,52,miner_pool_10,0.9013,110,230,0.8223,1
1352,1771083320,15336476,54,miner_pool_9,0.9325,143,209,0.9225,1
1353,1771083440,14406853,52,miner_pool_2,0.9548,149,223,0.8184,1
1354,1771083560,15934081,44,miner_pool_7,0.9649,123,225,0.8471,1
1355,1771083680,15463913,56,miner_pool_4,0.8816,105,209,0.9115,1
1356,1771083800,15760259,44,miner_pool_4,0.9945,96,254,0.8977,1
1357,1771083920,14582849,48,miner_pool_10,0.9824,108,211,0.8101,1
1358,1771084040,14686385,48,unknown_miner_224,0.8616,112,227,0.4594,1
1359,1771084160,15510730,58,miner_pool_1,0.8985,115,249,0.8731,1
1360,1771084280,15115371,43,miner_pool_3,0.8912,140,220,0.9352,0
1361,1771084400,15786235,61,miner_pool_7,0.894,144,249,0.823,1
1362,1771084520,15437584,44,miner_pool_10,0.9921,103,240,0.8872,1
1363,1771084640,15805995,53,miner_pool_1,0.924,126,251,0.9285,0
1364,1771084760,14711653,54,miner_pool_4,0.8679,122,232,0.9046,1
1365,1771084880,14537596,55,miner_pool_1,0.9759,95,207,0.9377,1
1366,1771085000,14528574,49,miner_pool_5,0.9456,120,227,0.9098,1
1367,1771085120,15204092,40,miner_pool_7,0.8653,107,234,0.8066,1
1368,1771085240,14750614,51,miner_pool_7,0.898,99,207,0.8121,1
1369,1771085360,15237514,48,miner_pool_9,0.9569,148,239,0.8933,1
1370,1771085480,14299867,35,miner_pool_9,0.8894,138,230,0.9131,1
1371,1771085600,14521476,44,miner_pool_1,0.948,147,245,0.8195,1
1372,1771085720,15776921,38,miner_pool_10,0.9795,119,229,0.8821,1
1373,1771085840,14246552,43,miner_pool_2,0.9126,95,219,0.9242,1
1374,1771085960,15653054,63,miner_pool_5,0.9257,124,232,0.8592,1
1375,1771086080,14323952,49,miner_pool_6,0.8856,144,218,0.9231,1
1376,1771086200,14873811,54,miner_pool_8,0.8985,114,231,0.9177,1
1377,1771086320,14487964,39,miner_pool_10,0.9227,142,215,0.8495,1
1378,1771086440,15735273,37,miner_pool_5,0.9037,141,212,0.8787,1
1379,1771086560,14710482,47,miner_pool_4,0.9746,147,208,0.8949,1
1380,1771086680,14460793,62,miner_pool_6,0.8868,115,207,0.8163,1
1381,1771086800,15579367,49,miner_pool_6,0.9033,94,221,0.8176,1
1382,1771086920,14052834,44,unknown_miner_494,0.9158,97,202,0.5844,1
1383,1771087040,15888465,51,miner_pool_7,0.9749,95,251,0.9233,1
1384,1771087160,15899465,50,miner_pool_4,0.8895,133,223,0.8782,1
